	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	"RISPOSTA: NO

Note: Nella determina non è specificato il servizio di appartenenza all'interno del settore."	NO
1	Oggetto della determinazione	RISPOSTA: SI	SI
2	Indicazione del CIG e /o del CUP del CUI,del CPV	RISPOSTA : SI	SI
3	"Centro di Costo: si indica il centro di costo al quale imputare la spesa.

**GRAVITA' [1/3](lieve) se non presenti**"	RISPOSTA : NO	NO
4	Estremi decreto sindacale di nomina del dirigente.	RISPOSTA: SI	SI
5	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	"RISPOSTA : NO

Note: Non sono presenti gli estremi della delega alla firma dell'atto, se il firmatario è una persona diversa dal Dirigente."	NO
6	Estremi atto di nomina del Responsabile del Progetto	"RISPOSTA: NO

Note: Non è presente l'atto di nomina del Responsabile del Progetto."	NO
7	Conflitto d'interessi 	RISPOSTA : SI	SI
8	"**Normativa specifica**:
Codice dei contratti pubblici (D.Lgs. n. 36.2023.);
L.R. n. 8/2018 e ss.mm.ii. (per quanto applicabile);
Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012, n. 135 (adesione convenzione Consip e utilizzo Mepa);
Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);
Art. 26, della legge n. 488/1999 e ss.mm.ii.;
DPCM 24 dicembre 2015."	RISPOSTA: SI	SI
9	"Normativa generale:
TUEL;
Legge n. 241/90;
DPR n. 62/2013 Codice comportamento dipendenti pubblici;
L. n. 190/2012;
D.Lgs. n. 33/2013
Legge n.136/2010"	RISPOSTA : SI	SI
10	"**Norme di principio** :
Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)"	RISPOSTA: SI	SI
11	"Regolamenti dell’ente quali:
- Statuto Comunale;
- Regolamento di contabilità;
- Regolamento dei contratti "	RISPOSTA : SI	SI
12	Termini per la conclusione della procedura	"RISPOSTA: NO

Note: Nella determina non sono indicati i termini per la conclusione della procedura di selezione, né tramite una data specifica né tramite una scadenza a decorrere dalla data di avvio della procedura."	NO
13	Fine che con il contratto si intende perseguire	"RISPOSTA: NO

Note: Non è esplicitamente indicato il fine che con il contratto si intende perseguire."	NO
14	Oggetto del contratto	"RISPOSTA : NO

Note: Non è presente un riferimento esplicito al progetto esecutivo completo di quanto previsto all’allegato I.7 del D.lgs. n. 36/2023, né al capitolato d’appalto o quaderno d’oneri."	NO
15	DUVRI (per i servizi)	"RISPOSTA: NO

Note: Non è presente alcun riferimento al DUVRI o all'attestazione del progettista nella determina."	NO
16	Costo della mano d’opera; contratto applicabile 	"RISPOSTA : NO

Note: Non è presente un riferimento specifico al costo della mano d'opera o al contratto applicabile nella determina."	NO
17	Suddivisione in lotti e indebito frazionamento	"RISPOSTA: NO

Note: Nella determina non è presente alcuna motivazione riguardante la mancata suddivisione dell'appalto in lotti, né si fa riferimento a ragioni oggettive che giustificherebbero tale scelta."	NO
18	Validazione (in caso di lavori pubblici)	RISPOSTA: SI	SI
19	Criteri Ambientali minimi 	"RISPOSTA: NO

Note: Non è presente alcun riferimento ai criteri ambientali minimi (CAM) nella determina."	NO
20	Forma del contratto	"RISPOSTA: NO

Note: La determina non indica espressamente la tipologia del contratto da adottare."	NO
21	Clausole del contratto ritenute essenziali	"RISPOSTA: NO

Note: Non sono specificati i requisiti di ordine generale e speciale richiesti, né le clausole del contratto ritenute essenziali nella determina."	NO
22	Cauzioni (per gli appalti d’importo inferire alle soglie UE)	"RISPOSTA: NO

Note: Nella determina non è presente alcun riferimento all'art. 106 e all'art. 117 del D.lgs n. 36/2023 riguardo le cauzioni."	NO
