	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	RISPOSTA GENERALE : NO, La determina indica solo il Settore (Pianificazione e Gestione del Territorio) ma non specifica il Servizio di appartenenza presente nella macrostruttura vigente.	NO
1	Oggetto della determinazione	RISPOSTA GENERALE: **NO**, l'oggetto della determinazione non riporta il codice corretto (15271) e non specifica la norma attributiva del potere (art. 50 comma 1 lettera c) in relazione all'importo.	NO
2	Indicazione del CIG e /o del CUP del CUI,del CPV	RISPOSTA GENERALE: **SI**, il CIG è presente nella determina (CIG A03E279B00) e il CUP è anch'esso indicato (CUP F91B21000550001). Non è stato specificato il CUI, ma non è essenziale per il controllo in quanto il CIG è stato acquisito prima dell'avvio della procedura.	SI
3	"Centro di Costo: si indica il centro di costo al quale imputare la spesa.

**GRAVITA' [1/3](lieve) se non presenti**"	RISPOSTA GENERALE : NO, Il centro di costo non è indicato nella determina.	NO
4	Estremi decreto sindacale di nomina del dirigente.	RISPOSTA GENERALE : SI, Il testo della determina cita il Decreto del Sindaco n. 31 del 26/07/2024 di conferimento dell’incarico di Dirigente del Settore Pianificazione e Gestione del Territorio all’Ing. Davide Molinari, soddisfacendo così il requisito richiesto.	SI
5	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	RISPOSTA GENERALE : NO, non sono presenti gli estremi della delega alla firma dell’atto, in quanto il Dirigente Davide Molinari è colui che adotta l'atto senza menzionare una delega da parte di un'altra persona.	NO
6	Estremi atto di nomina del Responsabile del Progetto	RISPOSTA GENERALE: NO, non è presente l'estremo atto di nomina del Responsabile del Progetto. Nella determina non viene specificato il nominativo e il recapito di posta elettronica del Responsabile del Progetto, né viene indicato un Responsabile di procedimento per la fase di affidamento, come richiesto dall'art. 15 del D.lgs n. 36/2023.	NO
7	Conflitto d'interessi 	RISPOSTA GENERALE: **SI**, il testo della determina attesta il pieno rispetto delle disposizioni relative al conflitto di interessi, dichiarando l'insussistenza di tale conflitto in capo al firmatario, al RUP e agli altri partecipanti al procedimento.	SI
8	"**Normativa specifica**:
Codice dei contratti pubblici (D.Lgs. n. 36.2023.);
L.R. n. 8/2018 e ss.mm.ii. (per quanto applicabile);
Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012, n. 135 (adesione convenzione Consip e utilizzo Mepa);
Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);
Art. 26, della legge n. 488/1999 e ss.mm.ii.;
DPCM 24 dicembre 2015."	RISPOSTA GENERALE : **SI**, la determina fa riferimento al Codice dei contratti pubblici (D.Lgs. n. 36/2023) in più punti, specificando articoli e commi applicati, come ad esempio l'articolo 50 comma 1 lettera c) per la procedura negoziata e l'articolo 17 comma 5 per l'aggiudicazione. Inoltre, sono citate altre normative pertinenti, come la legge n. 488/1999 e il D.L. 6 luglio 2012 n. 95, che confermano la conformità alle disposizioni di legge vigenti in materia.	SI
9	"Normativa generale:
TUEL;
Legge n. 241/90;
DPR n. 62/2013 Codice comportamento dipendenti pubblici;
L. n. 190/2012;
D.Lgs. n. 33/2013
Legge n.136/2010"	RISPOSTA GENERALE: **SI**, [La determina fa riferimento esplicito al D.Lgs. n. 267/2000 (TUEL), alla Legge n. 241/1990, al DPR n. 62/2013 (Codice di comportamento dei dipendenti pubblici), alla L. n. 190/2012 e al D.Lgs. n. 33/2013, rispettando così i presupposti normativi generali richiesti per la comprensione del provvedimento.]	SI
10	"**Norme di principio** :
Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)"	RISPOSTA GENERALE: **NO**, la determina non fa riferimento esplicito all'art. 4 del Dlgs n. 36/2023, che stabilisce i criteri interpretativi e applicativi delle disposizioni del codice. Non è indicato come i principi codicistici siano stati contemperati con l'obiettivo prioritario del risultato in termini di qualità, tempestività ed economicità nella fattispecie concreta.	NO
11	"Regolamenti dell’ente quali:
- Statuto Comunale;
- Regolamento di contabilità;
- Regolamento dei contratti "	RISPOSTA GENERALE : SI, [Nella determina sono citati lo Statuto Comunale e il Regolamento comunale di contabilità. Tuttavia, non è menzionato esplicitamente il Regolamento dei contratti. Pertanto, il punto è rispettato in parte, ma la mancanza del riferimento al Regolamento dei contratti potrebbe essere considerata una lacuna.]	SI
12	Termini per la conclusione della procedura	RISPOSTA GENERALE: **NO**, non è specificato un termine per la conclusione della procedura di selezione. La determina non indica una data precisa o una scadenza a decorrere dalla data di avvio della procedura, contravvenendo così alle disposizioni dell’art. 17, comma 3.	NO
13	Fine che con il contratto si intende perseguire	RISPOSTA GENERALE: **NO**, non è presente una chiara indicazione del fine che con il contratto si intende perseguire. La determina non specifica esplicitamente l'obiettivo finale dell'appalto, limitandosi a descrivere l'oggetto dei lavori senza delineare il risultato atteso o l'impatto previsto.	NO
14	Oggetto del contratto	RISPOSTA GENERALE: NO, La determina non menziona esplicitamente la presenza del progetto esecutivo completo di quanto previsto all’allegato I.7 del D.Lgs. n. 36/2023, né il capitolato d’appalto o il quaderno d’oneri, che sono requisiti necessari per la validità dell'appalto.	NO
15	DUVRI (per i servizi)	RISPOSTA GENERALE: NO, non è presente il DUVRI redatto in conformità a quanto previsto dall’art. 26 del d.lgs. n. 81/2008, né l'attestazione del progettista che certifichi l'assenza di necessità di redigere il DUVRI. Pertanto, non è stata fornita la quantificazione degli oneri pertinenti la sicurezza da rischio interferenziale.	NO
16	Costo della mano d’opera; contratto applicabile 	RISPOSTA GENERALE : NO, non è presente un riferimento specifico al costo della mano d'opera e al contratto applicabile nella determina.	NO
17	Suddivisione in lotti e indebito frazionamento	RISPOSTA GENERALE: NO, non è presente una motivazione adeguata per la mancata suddivisione dell'appalto in lotti. La determina non riporta alcuna giustificazione che spieghi perché l'appalto non sia stato frazionato, né si fa riferimento a ragioni oggettive che possano giustificare tale scelta, contravvenendo così a quanto previsto dall’art. 58 del Dlgs n. 36/2023.	NO
18	Validazione (in caso di lavori pubblici)	RISPOSTA GENERALE: **NO**, non sono presenti gli estremi dell’avvenuta validazione del progetto posto a base di gara nel testo della determina. Sebbene venga menzionata la validazione del progetto esecutivo, non sono forniti gli estremi specifici relativi a tale validazione nel bando o nella lettera di invito.	NO
19	Criteri Ambientali minimi 	RISPOSTA GENERALE: NO, non è presente alcun riferimento ai criteri ambientali minimi (CAM) nella determina. Non è specificato se i lavori rientrano o meno nell'ambito di applicazione dei CAM adottati e in vigore, né è indicato il DM relativo.	NO
20	Forma del contratto	RISPOSTA GENERALE: NO, La determina non indica espressamente la tipologia del contratto da adottare, né fornisce motivazioni per l'eventuale utilizzo di modalità diverse da quelle previste all'art. 18 del D.Lgs. n. 267/2000.	NO
21	Clausole del contratto ritenute essenziali	RISPOSTA GENERALE: **NO**, non sono indicati i requisiti di ordine generale e speciale richiesti, né eventuali ulteriori requisiti essenziali come l'esclusione automatica dell'offerta anomala, limitazioni all'avvalimento, tipologia del criterio di selezione dell'offerta o requisiti minimi di esecuzione previsti nel Capitolato speciale d'appalto. La determina non rimanda a tali requisiti contenuti nel capitolato o nei documenti approvati.	NO
22	Cauzioni (per gli appalti d’importo inferire alle soglie UE)	RISPOSTA GENERALE: NO, non è presente la specifica riguardante le cauzioni ai sensi dell'art. 106 e dell'art. 117 del D.lgs n. 36/2023. La determina non menziona se sussistono o meno particolari ragioni per richiedere la cauzione provvisoria e non indica se è richiesta la cauzione definitiva.	NO
23	Modalità di scelta del contraente e ragioni che ne sono alla base (motivare in modo specifico)	"RISPOSTA GENERALE: **NO**, la determina non specifica in modo adeguato le modalità di selezione degli operatori economici da invitare a presentare offerta, né fornisce motivazioni sufficienti per la scelta della procedura negoziata. 

**Spiegazione sintetica**: Sebbene la determina faccia riferimento all'articolo 50 comma 1 lettera c) del D.Lgs. 36/2023 per giustificare l'uso della procedura negoziata, non vengono dettagliate le modalità specifiche di selezione degli operatori economici, i requisiti di partecipazione, i criteri preferenziali di selezione e i criteri di aggiudicazione. Inoltre, non è chiaro se ci siano state indagini di mercato o se siano stati utilizzati elenchi di operatori. La mancanza di queste informazioni rende la motivazione insufficiente e non conforme ai requisiti normativi."	NO
24	Rotazione degli affidamenti	"RISPOSTA GENERALE: NO, La determina non esplicita che ""la procedura sarà aggiudicata nel rispetto delle norme sulla rotazione degli affidamenti come contenute all’art. 49 del Dlgs n.36/2023"". Non è presente alcun riferimento alla rotazione degli affidamenti, né viene menzionata la possibilità di reinvitare il contraente uscente o di individuare un affidatario diretto in caso di motivazioni specifiche."	NO
25	Criterio di selezione delle offerte	RISPOSTA GENERALE: **SI**, il criterio di selezione delle offerte è stato scelto in conformità con l'art. 17 del D.Lgs. n. 36/2023, che prevede l'applicazione del criterio del minor prezzo, come indicato nella determina.	SI
26	"Indicazione dell’importo massimo stimato a base di gara
Quadro economico dell’intervento  comprensivo di Importo a base di gara, oneri fiscali, costi della sicurezza/interferenziali, revisione dei prezzi, somme a disposizione, supporto al RUP, incentivi (art. 45) modificazioni del contratto preventivabili, proroga, lavori o servizi analoghi, quinto d’obbligo"	RISPOSTA GENERALE: **NO**, la determina non fornisce un'indicazione chiara e dettagliata dell'importo massimo stimato a base di gara, né un quadro economico completo che includa tutti gli elementi richiesti come oneri fiscali, costi della sicurezza, revisione dei prezzi, somme a disposizione, supporto al RUP, incentivi, modificazioni del contratto preventivabili, proroga, lavori o servizi analoghi e quinto d’obbligo.	NO
27	Riferimenti all’obbligo di utilizzo degli strumenti di acquisto e di negoziazione messi a disposizione da CONSIP e da soggetti aggregatori 	RISPOSTA GENERALE: NO, La determina non fa riferimento all'obbligo di utilizzo degli strumenti di acquisto e di negoziazione messi a disposizione da CONSIP e da soggetti aggregatori, né verifica la disponibilità di beni o servizi sul mercato elettronico o l'attivazione di convenzioni CONSIP o CAT Sardegna.	NO
28	Riferimenti alla qualificazione del Comune quale Stazione appaltante	RISPOSTA GENERALE : SI, il Comune di Olbia è identificato come Stazione appaltante nella premessa della determina, dove si fa riferimento alla procedura di gara e all'aggiudicazione dei lavori.	SI
29	Riferimenti alla deliberazione di approvazione del bilancio.	RISPOSTA GENERALE : **NO**, non sono indicati gli estremi di approvazione del bilancio pluriennale vigente. Nella determina si fa riferimento solo alla deliberazione del Consiglio Comunale n. 139 del 18/12/2023 riguardante il Bilancio di Previsione Finanziario 2024/2026, ma non viene menzionato il bilancio pluriennale.	NO
30	Riferimenti deliberazione approvazione PEG e del PIAO	RISPOSTA GENERALE : NO, non è presente il riferimento alla deliberazione di approvazione del Piano Esecutivo di Gestione (PEG) e del Piano Integrato di Attività e Organizzazione (PIAO) nella determina.	NO
31	Impegno di spesa/prenotazione/copertura finanziaria	RISPOSTA GENERALE: SI, l'importo da impegnare è di € 395.083,91, assoggettato ad IVA al 10% per un totale di € 35.916,72. La spesa trova copertura nei capitoli di bilancio indicati nella determina, e non ci sono indicazioni di esercizio provvisorio o impegni su più esercizi finanziari.	SI
32	Conformità dei pagamenti con le regole della finanza pubblica vigenti.	RISPOSTA GENERALE: NO, non è presente un esplicito riferimento nel provvedimento che attesti la compatibilità del programma di spesa con le vigenti regole della finanza pubblica.	NO
33	Contributo ANAC	RISPOSTA GENERALE: NO, La determina non menziona l'assunzione dell'impegno di spesa relativo al pagamento del contributo all'ANAC, né indica il capitolo del bilancio e l'anno di riferimento, pertanto non rispetta il requisito previsto.	NO
34	Richiamati e/o allegati	RISPOSTA GENERALE : SI, [Nella determina sono richiamati e allegati diversi atti, tra cui le determinazioni precedenti relative all'intervento, il verbale del seggio di gara e l'elenco dei partecipanti, che sono pertinenti e necessari per la procedura di aggiudicazione.]	SI
