,Punto,Response,num,Simple
0,Competenza organo/dirigente individuato con decreto,"RISPOSTA GENERALE : SI, Il dirigente Ing. Antonella Giannini è stato conferito dell'incarico con provvedimento del Sindaco n. 42 del 30/10/2024, quindi le competenze sono specificate correttamente.",1.0,SI
1,"Articolazione dell’atto in intestazione  preambolo/premessa, parte motivazione, dispositivo, indicazione autorità e termini per ricorrere, riferimenti al deposito nel fascicolo digitale degli atti afferenti il procedimento amm.vo ex art. 41 CAD (gestione documentale)","RISPOSTA GENERALE : SI, La determina presenta un'articolazione chiara con intestazione, preambolo/premessa, parte motivazione, dispositivo, indicazione dell'autorità e termini per ricorrere. Non sono presenti riferimenti specifici al deposito nel fascicolo digitale degli atti afferenti il procedimento amministrativo ex art. 41 CAD.",2.0,SI
2,Affidabilità riferimenti normativi di carattere generale es. TUEL ,"RISPOSTA GENERALE : SI, i riferimenti normativi di carattere generale sono presenti nella determina, in particolare si fa riferimento alla L. n. 241/1990, al D.Lgs. n. 267/2000, al D.P.R. n. 207/2010, al D.Lgs. n. 50/2016, al D.Lgs. n. 36/2023 e al D.M. 49/2018.",3.0,SI
3,"Affidabilità riferimenti normativi specifici es. Codice dei contratti, Regolamenti Ente","RISPOSTA GENERALE : SI, i riferimenti normativi specifici sono presenti e includono la L. n. 241/1990, il D.Lgs. n. 267/2000, il D.P.R. n. 207/2010, il D.Lgs. n. 50/2016, il D.Lgs. n. 36/2023 e il D.M. 49/2018, tutti pertinenti per la materia trattata nella determina.",4.0,SI
4,"Nel caso di attività inserite negli atti di programmazione Coerenza con: 
- DUP  e PIAO 
- Bilancio di Previsione se trattasi di DD con spesa; 
- cronoprogramma  in fase di esecuzione (lavori, forniture, servizi 
- SITAT e altre banche dati)","RISPOSTA GENERALE: **SI**, le attività sono coerenti con il DUP e il PIAO, in quanto i lavori di manutenzione straordinaria e adeguamento dei ponti stradali rientrano nelle priorità indicate nei documenti di programmazione. Inoltre, la spesa è prevista nel Bilancio di Previsione e il cronoprogramma è stato rispettato durante l'esecuzione dei lavori. Non sono state riscontrate incongruenze con le banche dati SITAT e altre fonti.",5.0,SI
5,Esplicitazione motivazione con puntuale indicazione presupposti di fatto e ragioni giuridiche (riferimenti normativi e/o regolamentari),"RISPOSTA GENERALE : **SI**, la determina esplicita la motivazione con puntuale indicazione dei presupposti di fatto e delle ragioni giuridiche, facendo riferimento a diverse normative, tra cui la L. n. 241/1990, il D.Lgs. n. 267/2000, il D.P.R. n. 207/2010, il D.Lgs. n. 50/2016, il D.Lgs. n. 36/2023 e il D.M. 49/2018.",6.0,SI
6,"1) Responsabile del Procedimento ovvero distinzione tra responsabile del procedimento e del provvedimento; se è la EQ responsabile del provvedimento (delega di firma) indicare l’attribuzione/delega del Dirigente
2)  indicare  RUP delegato per fase","RISPOSTA GENERALE: **SI**, il responsabile unico del procedimento (R.U.P.) è indicato come l'Ing. Santi Bombaci, e non si trova in conflitto di interesse. La determina specifica anche che il R.U.P. è stato accertato e non ha conflitti, rispettando le normative vigenti. Non è stata menzionata una delega di firma specifica per il Dirigente, ma la distinzione tra responsabile del procedimento e del provvedimento è chiara.",7.0,SI
7,"Indicazione misure di prevenzione pertinenti rispetto allo specifico provvedimento, ad es:
- conflitto di interessi (per il PNRR obbligatorio sempre chiedere la dichiarazione)
- obblighi di pubblicità ai sensi delle Delibere ANAC 2023 per contratti finiti o in corso al 31.1.2023
- obblighi di pubblicità ai sensi del Dlvo 36/2023, art. 28
Qualora il provvedimento sia funzionale al raggiungimento di un obiettivo di performance, dare atto del rispetto delle misure di protezione inserite nelle fasi di PIAO","RISPOSTA GENERALE: **SI**, la determina riporta che il responsabile unico del procedimento (R.U.P.) non si trova in conflitto di interesse, anche potenziale, ai sensi dell'art. 6-bis della L. n. 241/1990, e che è stata effettuata una verifica personale o rilasciata una dichiarazione in atti. Non sono menzionati obblighi di pubblicità specifici ai sensi delle Delibere ANAC 2023 o del Dlvo 36/2023, ma la verifica del conflitto di interesse è una misura di prevenzione pertinente.",8.0,SI
8,Rispetto normativa sulla tutela della riservatezza laddove rilevante,"RISPOSTA GENERALE : SI, [La determina non contiene informazioni personali sensibili e rispetta la normativa sulla tutela della riservatezza, in quanto le informazioni fornite riguardano esclusivamente dati aziendali e contrattuali.]",9.0,SI
9,Rispetto dei tempi e dei termini del procedimento,"RISPOSTA GENERALE : SI, [La determina riporta che i lavori sono stati eseguiti e certificati secondo le tempistiche stabilite, con la consegna dei lavori avvenuta in data 21/08/2023 e il Certificato di Regolare Esecuzione redatto in data 04/12/2024, rispettando i termini previsti dal contratto.]",10.0,SI
10,"Altre annotazioni/criticità in merito: a. possibilità di semplificare
b. possibilità di digitalizzare
c. fare un focus specifico
d. pari opportunità
e. accesso","RISPOSTA GENERALE: NO, [La determina appare ben strutturata e conforme alle normative vigenti. Non emergono criticità significative in merito a semplificazioni, digitalizzazione, focus specifico, pari opportunità o accesso. Tuttavia, si potrebbe considerare un miglioramento nella chiarezza di alcune sezioni per facilitare la comprensione.]",11.0,NO
