,Punto,Response,num,Simple
0,Competenza organo/dirigente individuato con decreto,"RISPOSTA GENERALE : SI, il Dirigente Maurizio Prina è individuato come competente per la determinazione, in conformità con le disposizioni normative e il decreto sindacale n. 35/2024.",1.0,SI
1,"Articolazione dell’atto in intestazione  preambolo/premessa, parte motivazione, dispositivo, indicazione autorità e termini per ricorrere, riferimenti al deposito nel fascicolo digitale degli atti afferenti il procedimento amm.vo ex art. 41 CAD (gestione documentale)","RISPOSTA GENERALE: **SI**, la determina presenta un'articolazione chiara con intestazione, preambolo/premessa, parte motivazione, dispositivo, indicazione dell'autorità e termini per ricorrere. Non sono presenti riferimenti al deposito nel fascicolo digitale degli atti afferenti il procedimento amministrativo ex art. 41 CAD, ma ciò non compromette la regolarità dell'atto.",2.0,SI
2,Affidabilità riferimenti normativi di carattere generale es. TUEL ,"RISPOSTA GENERALE: **SI**, sono presenti riferimenti normativi di carattere generale, tra cui l'articolo 107 del D. Lgs. n. 267 del 18 agosto 2000 (TUEL) e l'art. 4 del D.Lgs. n. 165/2001, che disciplinano le funzioni e le competenze degli enti locali e del personale.",3.0,SI
3,"Affidabilità riferimenti normativi specifici es. Codice dei contratti, Regolamenti Ente","RISPOSTA GENERALE: SI, i riferimenti normativi specifici sono presenti e includono l'articolo 107 del D. Lgs. n. 267 del 18 agosto 2000, l'art. 4 del D.Lgs. n. 165/2001, lo Statuto Comunale, il decreto sindacale n. 35/2024, il vigente “Regolamento sull’“Ordinamento degli Uffici e dei Servizi” e la D.C.C. n. 10 del 07/01/2025 di approvazione del Bilancio di Previsione Armonizzato 2025/2027.",4.0,SI
4,"Nel caso di attività inserite negli atti di programmazione Coerenza con: 
- DUP  e PIAO 
- Bilancio di Previsione se trattasi di DD con spesa; 
- cronoprogramma  in fase di esecuzione (lavori, forniture, servizi 
- SITAT e altre banche dati)","RISPOSTA GENERALE: **SI**, la determina è coerente con il Bilancio di Previsione Armonizzato 2025/2027, in quanto si fa riferimento all'impegno di spesa per il servizio di manutenzione ordinaria del sistema varchi, specificando l'importo e il capitolo di bilancio. Non sono state menzionate specifiche attività di programmazione come il DUP e il PIAO, ma la spesa è compatibile con gli stanziamenti di bilancio.",5.0,SI
5,Esplicitazione motivazione con puntuale indicazione presupposti di fatto e ragioni giuridiche (riferimenti normativi e/o regolamentari),"RISPOSTA GENERALE : **SI**, la determina esplicita la motivazione con puntuale indicazione dei presupposti di fatto e delle ragioni giuridiche, facendo riferimento a normative come l'articolo 107 del D. Lgs. n. 267 del 18 agosto 2000 e l'art. 4 del D.Lgs. n. 165/2001, oltre a menzionare il Bilancio di Previsione Armonizzato 2025/2027.",6.0,SI
6,"1) Responsabile del Procedimento ovvero distinzione tra responsabile del procedimento e del provvedimento; se è la EQ responsabile del provvedimento (delega di firma) indicare l’attribuzione/delega del Dirigente
2)  indicare  RUP delegato per fase","RISPOSTA GENERALE: NO, il testo della determina non distingue chiaramente tra il responsabile del procedimento e il responsabile del provvedimento. Sebbene sia indicato il responsabile del procedimento (Ing. Luca Falsiroli), non è specificato se egli ha ricevuto una delega di firma dal Dirigente. Inoltre, non è menzionato un RUP delegato per fase.",7.0,NO
7,"Indicazione misure di prevenzione pertinenti rispetto allo specifico provvedimento, ad es:
- conflitto di interessi (per il PNRR obbligatorio sempre chiedere la dichiarazione)
- obblighi di pubblicità ai sensi delle Delibere ANAC 2023 per contratti finiti o in corso al 31.1.2023
- obblighi di pubblicità ai sensi del Dlvo 36/2023, art. 28
Qualora il provvedimento sia funzionale al raggiungimento di un obiettivo di performance, dare atto del rispetto delle misure di protezione inserite nelle fasi di PIAO","RISPOSTA GENERALE: **NO**, non sono indicate misure di prevenzione pertinenti rispetto allo specifico provvedimento, come la richiesta di dichiarazione di conflitto di interessi per il PNRR o gli obblighi di pubblicità ai sensi delle Delibere ANAC 2023 e del Dlvo 36/2023, art. 28. Sebbene sia menzionato che il responsabile del procedimento non si trova in conflitto di interessi, non è specificato se è stata richiesta la dichiarazione per il PNRR. Inoltre, non ci sono riferimenti agli obblighi di pubblicità previsti.",8.0,NO
8,Rispetto normativa sulla tutela della riservatezza laddove rilevante,"RISPOSTA GENERALE : SI, [La determina non contiene dati personali sensibili o informazioni riservate che violerebbero la normativa sulla tutela della riservatezza. Le informazioni fornite riguardano esclusivamente aspetti amministrativi e contrattuali.]",9.0,SI
9,Rispetto dei tempi e dei termini del procedimento,"RISPOSTA GENERALE: **SI**, i tempi e i termini del procedimento sono rispettati. La determina si riferisce a un impegno di spesa per il periodo Gennaio/Febbraio 2025, e il servizio di assistenza e manutenzione ordinaria è stato avviato il 01/03/2022, con una scadenza prevista di 24 mesi posticipata al 28/02/2025, quindi rientra nei termini stabiliti.",10.0,SI
10,"Altre annotazioni/criticità in merito: a. possibilità di semplificare
b. possibilità di digitalizzare
c. fare un focus specifico
d. pari opportunità
e. accesso","RISPOSTA GENERALE: NO, [La determina appare conforme e non presenta criticità evidenti in merito a semplificazione, digitalizzazione, focus specifico, pari opportunità o accesso. Non sono state riscontrate problematiche che richiedano ulteriori approfondimenti o modifiche.]",11.0,NO
