	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	"RISPOSTA : NO

Note: Nella determina non è specificato il servizio di appartenenza all'interno della macrostruttura vigente."	NO
1	Oggetto della determinazione	"RISPOSTA : NO

Nota: L'oggetto del provvedimento contiene il codice 15271 anziché 15275 e non è esplicitamente citata la norma attributiva del potere ex art. 50, comma 1, lett. a/b del D.lgs n. 36/2023."	NO
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	"RISPOSTA : NO

Note: Nella determina non è presente l'indicazione del CIG, del CPV e del CUP."	NO
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	"RISPOSTA : NO

Note: Non è presente l'indicazione del centro di costo al quale imputare la spesa."	NO
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA: SI	SI
5	Conflitto d’interessi	RISPOSTA: SI	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	NO	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	"RISPOSTA: NO

Note: Non è presente l'atto di nomina del Responsabile unico del Progetto (RUP) nella determina."	NO
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA: SI	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA: SI	SI
10	Norme di principio   Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)	RISPOSTA: SI	SI
11	Regolamenti dell’ente quali:  - Statuto Comunale;  - Regolamento di contabilità;  - Regolamento dei contratti	RISPOSTA : SI	SI
12	Indicazione dei riferimenti della determina a contrarre “semplificata” adottata	RISPOSTA: SI	SI
13	Indicazione dei riferimenti della determina a contrarre “non semplificata” adottata	"RISPOSTA: NO

Note: La determina non menziona esplicitamente un provvedimento propedeutico di determina a contrarre “non semplificata” con numero e data per l'individuazione dell'acquisto."	NO
14	Elementi da approvare con la determina a contrarre nel caso di provvedimento unico	RISPOSTA: SI	SI
15	Per gli appalti di servizi: DUVRI	"RISPOSTA: NO

Note: Non è presente alcun riferimento al DUVRI o all'attestazione del progettista nella determina."	NO
16	Suddivisione in lotti e norme sull’indebito frazionamento	NO	NO
17	Validazione (in caso di lavori pubblici)	"RISPOSTA: NO

Note: Non sono presenti riferimenti alla validazione del progetto posto a base di gara nel testo della determina."	NO
18	Criteri Ambientali Minimi (CAM)	"RISPOSTA: NO

Note: Nella determina non è presente alcun riferimento ai Criteri Ambientali Minimi (CAM) o alla loro applicazione."	NO
19	Cauzione	"RISPOSTA : NO

Note: Non è stata menzionata la cauzione definitiva nella determina."	NO
20	Riferimenti all’obbligo di utilizzo di convenzioni Consip o di soggetti aggregatori	"RISPOSTA: NO

Note: Nella determina si evidenzia che non sono attualmente in corso convenzioni presso Consip per i beni da acquisire e che non ci sono convenzioni attive nel C.A.T. per i beni oggetto del presente atto."	NO
21	Riferimenti all’obbligo di utilizzo del MEPA o del sistema telematico messo a disposizione dalla centrale regionale di riferimento	RISPOSTA: SI	SI
22	Indicazioni in merito all’istruttoria propedeutica al provvedimento	RISPOSTA: SI	SI
23	Denominazione dell’operatore economico affidatario e indicazione relativa all’acquisizione dell’offerta	RISPOSTA: SI	SI
24	Importo di affidamento	RISPOSTA: SI	SI
25	Indicazione di requisiti previsti dalle disposizioni vigenti per il ricorso all’affidamento diretto.	RISPOSTA: SI	SI
26	Motivazione scelta della procedura e del contraente;        Esporre le ragioni della scelta della ditta affidataria;        Esposizione del fatto che legittima il ricorso alla procedura e della valutazione in ordine alla scelta del contraente.	"NO

Note: La determina non espone dettagliatamente le ragioni della scelta dell'affidatario né fornisce una motivazione adeguata in merito al possesso dei requisiti previsti dall'art. 50 del D.lgs. n. 36/2023, alla congruità del prezzo, e al rispetto del principio di rotazione."	NO
