	Punto	Response	Simple
0	Competenza organo/dirigente individuato con decreto	RISPOSTA GENERALE : SI, La determina indica il Dirigente Maurizio Prina come firmatario e competente per l'adozione dell'atto, confermando la sua competenza in base al decreto sindacale n. 35/2024.	SI
1	Articolazione dell’atto in intestazione  preambolo/premessa, parte motivazione, dispositivo, indicazione autorità e termini per ricorrere, riferimenti al deposito nel fascicolo digitale degli atti afferenti il procedimento amm.vo ex art. 41 CAD (gestione documentale)	RISPOSTA GENERALE : NO, La determina non presenta una chiara articolazione in preambolo/premessa, parte motivazione e dispositivo. Sebbene ci siano elementi di premessa e motivazione, non è evidente una separazione netta tra le diverse sezioni dell'atto, e non è menzionato il deposito nel fascicolo digitale degli atti afferenti il procedimento amministrativo ex art. 41 CAD.	NO
2	Affidabilità riferimenti normativi di carattere generale es. TUEL 	RISPOSTA GENERALE: **SI**, i riferimenti normativi di carattere generale, come l'articolo 107 del D. Lgs. n. 267 del 18 agosto 2000 (TUEL), sono citati nella determina, rispettando così le disposizioni normative in materia di impegni di spesa.	SI
3	Affidabilità riferimenti normativi specifici es. Codice dei contratti, Regolamenti Ente	RISPOSTA GENERALE : **SI**, la determina cita esplicitamente l'articolo 107 del D. Lgs. n. 267 del 18 agosto 2000 e l'art. 4 del D.Lgs. n. 165/2001, oltre ad altri riferimenti normativi e regolamentari pertinenti, dimostrando un'adeguata base giuridica per le decisioni assunte.	SI
4	"Nel caso di attività inserite negli atti di programmazione Coerenza con: 
- DUP  e PIAO 
- Bilancio di Previsione se trattasi di DD con spesa; 
- cronoprogramma  in fase di esecuzione (lavori, forniture, servizi 
- SITAT e altre banche dati)"	RISPOSTA GENERALE: **NO**, la determina non fa esplicito riferimento alla coerenza con il Documento Unico di Programmazione (DUP) e il Piano Integrato di Attività e Organizzazione (PIAO), né verifica la compatibilità con il Bilancio di Previsione, nonostante si menzioni la compatibilità con gli stanziamenti di bilancio. Non sono forniti dettagli sulla coerenza con il cronoprogramma o altre banche dati come il SITAT.	NO
5	Esplicitazione motivazione con puntuale indicazione presupposti di fatto e ragioni giuridiche (riferimenti normativi e/o regolamentari)	RISPOSTA GENERALE: **SI**, la determina fornisce un'esplicitazione della motivazione con puntuale indicazione dei presupposti di fatto e delle ragioni giuridiche. È fatto riferimento all'art. 6-bis della L. n. 241/1990, che stabilisce l'obbligo di dichiarare l'assenza di situazioni di conflitto di interesse, sia per il responsabile del procedimento che per il dirigente procedente. Inoltre, la determina esplicita le motivazioni relative all'impegno di spesa e alla compatibilità con il bilancio, dimostrando così la necessaria trasparenza e legittimità dell'atto.	SI
6	"1) Responsabile del Procedimento ovvero distinzione tra responsabile del procedimento e del provvedimento; se è la EQ responsabile del provvedimento (delega di firma) indicare l’attribuzione/delega del Dirigente
2)  indicare  RUP delegato per fase"	RISPOSTA GENERALE : **SI**, Il Dirigente ha indicato il Responsabile del Procedimento (RUP) nella determina, specificando che è l'Ing. Luca Falsiroli. Non è stata fornita una distinzione specifica tra responsabile del procedimento e del provvedimento, ma si presume che il Dirigente sia responsabile del provvedimento in quanto firmatario della determina. Non è stata menzionata una delega di firma specifica, ma è implicito che il Dirigente ha l'autorità per firmare.	SI
7	"Indicazione misure di prevenzione pertinenti rispetto allo specifico provvedimento, ad es:
- conflitto di interessi (per il PNRR obbligatorio sempre chiedere la dichiarazione)
- obblighi di pubblicità ai sensi delle Delibere ANAC 2023 per contratti finiti o in corso al 31.1.2023
- obblighi di pubblicità ai sensi del Dlvo 36/2023, art. 28
Qualora il provvedimento sia funzionale al raggiungimento di un obiettivo di performance, dare atto del rispetto delle misure di protezione inserite nelle fasi di PIAO"	RISPOSTA GENERALE : NO, La determina non fa riferimento esplicito alle misure di prevenzione relative al conflitto di interessi, né agli obblighi di pubblicità previsti dalle Delibere ANAC 2023 o dal Dlvo 36/2023, art. 28. Non è menzionato il rispetto delle misure di protezione inserite nelle fasi di PIAO, quindi non rispetta le indicazioni richieste.	NO
8	Rispetto normativa sulla tutela della riservatezza laddove rilevante	RISPOSTA GENERALE: **SI**, La determina non contiene informazioni sensibili o dati personali che violerebbero la normativa sulla tutela della riservatezza. Le informazioni presentate riguardano esclusivamente dettagli amministrativi e contrattuali del servizio di manutenzione ordinaria, senza menzionare dati identificabili di persone fisiche.	SI
9	Rispetto dei tempi e dei termini del procedimento	RISPOSTA GENERALE : **NO**, la determina non specifica esplicitamente il rispetto dei tempi e dei termini del procedimento, né fornisce dettagli sui termini di scadenza o sull'iter seguito per l'adozione della determina stessa.	NO
10	"Altre annotazioni/criticità in merito: a. possibilità di semplificare
b. possibilità di digitalizzare
c. fare un focus specifico
d. pari opportunità
e. accesso"	RISPOSTA GENERALE: NO, la determina non affronta specificamente le questioni relative alla semplificazione, digitalizzazione, focus sulle pari opportunità e accesso. Non ci sono indicazioni su come queste tematiche siano state considerate o integrate nel provvedimento.	NO
