	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	RISPOSTA GENERALE : NO, [Nella determina non è indicato il servizio di appartenenza presente nella macrostruttura vigente.]	NO
1	Oggetto della determinazione	"RISPOSTA GENERALE : SI, La determinazione riguarda l'""Affidamento diretto ai sensi dell'art. 50, comma 1, lett. b) del D.Lgs. n. 36/2023"" per il Codice 15275, in relazione a un servizio di formazione sui controlli di regolarità amministrativa e implementazione del software AuditingPA. È chiaramente indicato l'oggetto e la norma attributiva del potere."	SI
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	RISPOSTA GENERALE: **SI**, il CIG è presente e correttamente indicato nella determina, così come il CPV (80500000-9) che rientra nel livello di classificazione richiesto. Non è necessario indicare il CUI poiché l'affidamento è stato effettuato ai sensi dell'art. 50 del D.Lgs. n. 36/2023.	SI
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	"RISPOSTA GENERALE : [SI], [Il centro di costo è specificato nella determina come ""centro di costo 1000000"", pertanto è conforme alle indicazioni richieste.]"	SI
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA GENERALE: **SI**, il Dirigente è stato nominato con il Decreto del Sindaco n. 18 del 26/06/2024, come riportato nella determina.	NO
5	Conflitto d’interessi	RISPOSTA GENERALE : SI, [La determina dichiara esplicitamente che nei confronti dei soggetti intervenuti alla procedura, incluso il RUP, non sussistono situazioni di conflitto di interessi, conforme all'art. 16 del D.lgs. n. 36/2023.]	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	RISPOSTA GENERALE: NO, non è fornita alcuna informazione relativa agli estremi della delega alla firma dell’atto nel caso in cui la firma sia apposta da una persona diversa dal Dirigente. La determina riporta solo il nome del Dirigente che ha sottoscritto il documento, senza indicazioni su eventuali deleghe.	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	RISPOSTA GENERALE: [SI], [Nel testo della determina è indicato che il Responsabile Unico del Progetto (RUP) è il Dott. Paolo Contu, con riferimento specifico all'articolo 7 della determina nel quale viene chiaramente nominato.]	SI
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA GENERALE : **SI**, la determina fa riferimento alla normativa specifica del Codice dei contratti pubblici (D.Lgs. n. 36/2023) e indica dettagliatamente i commi e articoli applicati relativi all'affidamento diretto, l'uso del MEPA e altre disposizioni necessarie per la regolarità amministrativa nella procedura di acquisto.	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA GENERALE : SI, [La determina riporta esplicitamente i riferimenti normativi al D.Lgs. n. 267/2000 (TUEL), alla L. n. 241/90, al DPR n. 62/2013 (Codice comportamento dipendenti pubblici), alla L. n. 190/2012, al D.Lgs. n. 33/2013, e alla L. n° 136/2010, quindi i presupposti normativi generali sono correttamente indicati e correlati al provvedimento].	SI
10	Norme di principio   Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)	RISPOSTA GENERALE: **NO**, la determina non fa esplicito riferimento all'art. 4 del D.lgs n. 36/2023, né ai principi di interpretazione e applicazione stabiliti da tale norma. Non viene indicato in che modo nella fattispecie concreta si siano contemperati i principi codicistici con l'obiettivo prioritario del risultato in termini di qualità, tempestività ed economicità.	NO
11	Regolamenti dell’ente quali:  - Statuto Comunale;  - Regolamento di contabilità;  - Regolamento dei contratti	RISPOSTA GENERALE: NO, [Nella determina non viene menzionato esplicitamente lo Statuto Comunale, il Regolamento di contabilità e il Regolamento dei contratti. La mancanza di riferimento a questi regolamenti può indicare un possibile difetto di completezza nella normativa citata.]	NO
12	Indicazione dei riferimenti della determina a contrarre “semplificata” adottata	RISPOSTA GENERALE: SI, La determina a contrarre presenta in modo semplificato l'oggetto dell'affidamento, l'importo, il fornitore, le ragioni della scelta del fornitore e il possesso dei requisiti di carattere generale.	SI
13	Indicazione dei riferimenti della determina a contrarre “non semplificata” adottata	"RISPOSTA GENERALE: NO, non è presente l'indicazione della determina a contrarre ""non semplificata"" con i relativi riferimenti necessari (numero e data) per l'individuazione dell'acquisto dei servizi da effettuare. La determina non rispetta quindi questo requisito."	NO
14	Elementi da approvare con la determina a contrarre nel caso di provvedimento unico	RISPOSTA GENERALE: NO, La determina non contiene l'indicazione dell'interesse pubblico che intende soddisfare l'amministrazione, né le caratteristiche precise dei servizi acquistati. Manca quindi uno degli elementi tipici richiesti per l'affidamento diretto.	NO
15	Per gli appalti di servizi: DUVRI	RISPOSTA GENERALE: **SI**, la determina riporta che non è necessaria l’elaborazione del Documento Unico dei Rischi da Interferenze (DUVRI) poiché si tratta di formazione online e aggiornamento Software AuditingPA già in uso dall’ente, come previsto dall’art. 26, comma 3 bis del D. Lgs. n. 81/2008.	SI
16	Suddivisione in lotti e norme sull’indebito frazionamento	RISPOSTA GENERALE : NO, La determina non contiene una motivazione esplicita per la mancata suddivisione dell'appalto in lotti né una giustificazione oggettiva in merito. Non sono stati forniti elementi che dimostrino perché l'appalto non possa essere frazionato in lotti aggiudicabili separatamente, contravvenendo così all'art. 58 del D.lgs n. 36/2023.	NO
17	Validazione (in caso di lavori pubblici)	RISPOSTA GENERALE: NO, non è presente alcun riferimento agli estremi dell’avvenuta validazione del progetto posto a base di gara nella determina.	NO
