,Punto,Response,num,Simple
0,Competenza organo/dirigente individuato con decreto,"RISPOSTA GENERALE : SI, il Dirigente Maurizio Prina ha firmato la determina e non c'è menzione di incompetenza; pertanto, la competenza dell'organo è correttamente individuata.",1.0,SI
1,"Articolazione dell’atto in intestazione  preambolo/premessa, parte motivazione, dispositivo, indicazione autorità e termini per ricorrere, riferimenti al deposito nel fascicolo digitale degli atti afferenti il procedimento amm.vo ex art. 41 CAD (gestione documentale)","RISPOSTA GENERALE: **SI**, l'atto presenta correttamente l'articolazione in intestazione con preambolo/premessa, parte motivazionale, dispositivo, indicazione dell'autorità e termini per ricorrere. Non è specificato esplicitamente il riferimento al deposito nel fascicolo digitale degli atti, ma non è considerato un requisito essenziale per la validità dell'atto in questa verifica.",2.0,SI
2,Affidabilità riferimenti normativi di carattere generale es. TUEL ,"RISPOSTA GENERALE: SI, i riferimenti normativi di carattere generale sono presenti nella determina. In particolare, si fa riferimento all'articolo 107 del D. Lgs. n. 267/2000 (TUEL) e all'art. 4 del D.Lgs. n. 165/2001, che sono pertinenti per le questioni di competenza e di organizzazione degli uffici e dei servizi.",3.0,SI
3,"Affidabilità riferimenti normativi specifici es. Codice dei contratti, Regolamenti Ente","RISPOSTA GENERALE: SI, i riferimenti normativi specifici sono presenti. La determina fa riferimento all'articolo 107 del D.Lgs. n. 267 del 18 agosto 2000, all'art. 4 del D.Lgs. n. 165/2001, allo Statuto Comunale, al decreto sindacale n. 35/2024, al vigente ""Regolamento sull'“Ordinamento degli Uffici e dei Servizi” e alla D.C.C. n. 10 del 07/01/2025 di approvazione del Bilancio di Previsione Armonizzato 2025/2027.",4.0,SI
4,"Nel caso di attività inserite negli atti di programmazione Coerenza con: 
- DUP  e PIAO 
- Bilancio di Previsione se trattasi di DD con spesa; 
- cronoprogramma  in fase di esecuzione (lavori, forniture, servizi 
- SITAT e altre banche dati)","RISPOSTA GENERALE: SI, [La determina è coerente con il Bilancio di Previsione Armonizzato 2025/2027 e l'impegno di spesa per il servizio di assistenza e manutenzione ordinaria del sistema di varchi è specificato nel capitolo 30232/2. Non sono indicate specifiche anomalie rispetto al DUP, PIAO o cronoprogramma, e non emergono contraddizioni con le banche dati disponibili.]",5.0,SI
5,Esplicitazione motivazione con puntuale indicazione presupposti di fatto e ragioni giuridiche (riferimenti normativi e/o regolamentari),"RISPOSTA GENERALE : **SI**, la determina contiene una chiara esplicitazione della motivazione, evidenziando i presupposti di fatto e le ragioni giuridiche, con riferimenti normativi come l'art. 107 del D. Lgs. n. 267 del 18 agosto 2000 e l'art. 4 del D.Lgs. n. 165/2001, nonché il riferimento al vigente “Regolamento sull’“Ordinamento degli Uffici e dei Servizi”.",6.0,SI
6,"1) Responsabile del Procedimento ovvero distinzione tra responsabile del procedimento e del provvedimento; se è la EQ responsabile del provvedimento (delega di firma) indicare l’attribuzione/delega del Dirigente
2)  indicare  RUP delegato per fase","RISPOSTA GENERALE: NO, il testo della determina non distingue in modo chiaro tra il responsabile del procedimento e il responsabile del provvedimento. Viene indicato solo il responsabile del procedimento (Ing. Luca Falsiroli) senza menzionare esplicitamente se egli sia anche il responsabile del provvedimento o se vi sia una delega di firma da parte del Dirigente. Non viene neppure indicato un RUP delegato per fase.",7.0,NO
7,"Indicazione misure di prevenzione pertinenti rispetto allo specifico provvedimento, ad es:
- conflitto di interessi (per il PNRR obbligatorio sempre chiedere la dichiarazione)
- obblighi di pubblicità ai sensi delle Delibere ANAC 2023 per contratti finiti o in corso al 31.1.2023
- obblighi di pubblicità ai sensi del Dlvo 36/2023, art. 28
Qualora il provvedimento sia funzionale al raggiungimento di un obiettivo di performance, dare atto del rispetto delle misure di protezione inserite nelle fasi di PIAO","RISPOSTA GENERALE: SI, la determina riporta che il responsabile del procedimento ha dichiarato di non trovarsi in conflitto d'interesse, come previsto dalla normativa. Non sono tuttavia menzionate specifiche misure di prevenzione relative agli obblighi di pubblicità ai sensi delle Delibere ANAC 2023 o del Dlgs 36/2023. La determina è comunque conforme alle esigenze di trasparenza e correttezza procedimentale.

",8.0,SI
8,Rispetto normativa sulla tutela della riservatezza laddove rilevante,"RISPOSTA GENERALE : **SI**, [La determina non contiene informazioni personali o dati sensibili identificabili, rispettando pertanto la normativa sulla tutela della riservatezza.]",9.0,SI
9,Rispetto dei tempi e dei termini del procedimento,"RISPOSTA GENERALE : SI, L'avvio effettivo del servizio di assistenza e manutenzione ordinaria del sistema dei varchi è avvenuto il 01/03/2022, rispetto ai termini stabiliti, e la scadenza del periodo di 24 mesi è stata posticipata al 28/02/2025, quindi non ci sono anomalie riguardo ai tempi e termini del procedimento.",10.0,SI
10,"Altre annotazioni/criticità in merito: a. possibilità di semplificare
b. possibilità di digitalizzare
c. fare un focus specifico
d. pari opportunità
e. accesso","RISPOSTA GENERALE: NO, [Il testo della determina è dettagliato e sembra rispettare le norme vigenti senza evidenziare criticità particolari relative a semplificazioni, digitalizzazione, focus specifici, pari opportunità o accesso.]",11.0,NO
