,accuracy,precision,recall,f1_score,balanced_accuracy,Model,Temperature,Municipality
0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.0,Lucca
1,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.01,Lucca
2,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.2,Lucca
3,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.4,Lucca
4,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.5,Lucca
5,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.6,Lucca
6,1.0,1.0,1.0,1.0,1.0,llama 3.1 8B,0.8,Lucca
7,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,1.0,Lucca
8,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.0,Lucca
9,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.01,Lucca
10,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.2,Lucca
11,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.4,Lucca
12,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.5,Lucca
13,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.6,Lucca
14,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,0.8,Lucca
15,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 3B,1.0,Lucca
16,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.0,Lucca
17,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.01,Lucca
18,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.2,Lucca
19,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.4,Lucca
20,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.5,Lucca
21,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.6,Lucca
22,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.8,Lucca
23,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,1.0,Lucca
24,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.01,Lucca
25,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.4,Lucca
26,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,llama 3.1 70B Q4,0.5,Lucca
27,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.6,Lucca
28,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.8,Lucca
29,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,1.0,Lucca
30,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,Mistral v0.3 7B ,0.0,Lucca
31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,Mistral v0.3 7B ,0.01,Lucca
32,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B ,0.2,Lucca
33,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B ,0.4,Lucca
34,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B ,0.5,Lucca
35,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B ,0.6,Lucca
36,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B ,0.8,Lucca
37,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B ,1.0,Lucca
38,1.0,1.0,1.0,1.0,1.0,chatgpt 4o mini,0.0,Lucca
39,1.0,1.0,1.0,1.0,1.0,chatgpt 4o mini,0.01,Lucca
40,1.0,1.0,1.0,1.0,1.0,chatgpt 4o mini,0.2,Lucca
41,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,chatgpt 4o mini,0.4,Lucca
