	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	RISPOSTA GENERALE : NO, La determina non indica esplicitamente il servizio di appartenenza presente nella macrostruttura vigente, limitandosi a menzionare solo il settore (Settore SUAPE, Manutenzioni e Viabilità).	NO
1	Oggetto della determinazione	RISPOSTA GENERALE: **SI**, il provvedimento riguarda l'affidamento diretto per l'incarico professionale finalizzato al collaudo statico e tecnico-amministrativo per il completamento del Palazzo di Giustizia, codice 15275, ai sensi dell'art. 50, comma 1, lett. b) del D.Lgs. n. 36/2023.	SI
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	RISPOSTA GENERALE: **NO**, la determina non riporta l'indicazione del codice CPV, che è obbligatoria ai sensi dell'art. 17, comma 2, del D.Lgs. n. 36/2023. Sebbene siano presenti il CIG e il CUP, l'assenza del CPV rappresenta una mancanza che potrebbe compromettere la regolarità dell'atto.	NO
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	"RISPOSTA GENERALE : [SI], [Il centro di costo è indicato nella determina come ""Capitoli Descrizione 1110002 ex pretura 71052 Compl. Palazzo di Giustizia"".]"	SI
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA GENERALE: **NO**, il testo della determina non riporta gli estremi del decreto sindacale di nomina del Dirigente, né specifica se il Dirigente è anche RUP o responsabile della fase di affidamento. Non è presente alcuna indicazione riguardo alla nomina di un responsabile di procedimento per le fasi di programmazione, progettazione ed esecuzione, né per la fase di affidamento.	NO
5	Conflitto d’interessi	RISPOSTA GENERALE: SI, [Nella determina è stato dichiarato che il Responsabile Unico del Procedimento (RUP) non si trova in conflitto di interessi, ai sensi dell’art. 6 bis della L. 241/1990 e dell’art. 16 del D.Lgs. 36/2023, rispettando così le disposizioni normative in materia.]	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	RISPOSTA GENERALE: NO, non sono presenti gli estremi della delega alla firma dell’atto, poiché la determina è firmata dal Dirigente, Diego Ciceri, senza indicazione di una delega da parte di un'altra persona.	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	RISPOSTA GENERALE : **SI**, il Responsabile Unico del Procedimento (RUP) è stato nominato e il suo nome, Geom. Vincenzo Lombardi, è indicato nella determina.	SI
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA GENERALE: **SI**, la determina fa riferimento al Codice dei contratti pubblici (D.Lgs. n. 36/2023) e ad altre normative pertinenti, specificando gli articoli e i commi applicati, come ad esempio l'art. 50, comma 1, lett. b) del D.Lgs. n. 36/2023, che regola l'affidamento diretto. Inoltre, sono citati altri riferimenti normativi come la legge n. 488/1999 e la legge n. 296/2006, che stabiliscono vincoli procedurali e obblighi per l'adesione a convenzioni Consip e MEPA.	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA GENERALE : SI, [La determina fa riferimento a normative generali come il D.Lgs. 267/2000 (TUEL) e la Legge n. 241/90, che sono essenziali per comprendere il processo amministrativo e la legittimità dell'atto. Inoltre, menziona il DPR n. 62/2013 riguardante il codice di comportamento dei dipendenti pubblici, la L. n. 190/2012 sulla prevenzione della corruzione, e il D.Lgs. n. 33/2013 sulla trasparenza, tutti elementi che supportano la regolarità e la trasparenza dell'azione amministrativa.]	SI
